2024-10-29 23:57:59 - INFO - __main__ - Initializing training script
2024-10-29 23:57:59 - INFO - __main__ - Loading dataset...
2024-10-29 23:58:09 - INFO - __main__ - Loading model and tokenizer...
Some weights of RobertaForSequenceClassificationWithAdapters were not initialized from the model checkpoint at roberta-base and are newly initialized: ['classifier.dense.bias', 'classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.out_proj.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.weight', 'roberta.e
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/root/HW2/task3/train.py:106: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
2024-10-29 23:58:14 - INFO - __main__ - Starting training...
  0%|                                                                                                    | 0/1284 [00:00<?, ?it/s]/root/miniconda3/envs/pytorch/lib/python3.10/site-packages/transformers/modeling_utils.py:1160: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(
                                                                                                                                  
{'loss': 1.4002, 'grad_norm': 1.97538161277771, 'learning_rate': 9.922118380062307e-05, 'epoch': 0.02}
{'loss': 1.3524, 'grad_norm': 2.3769209384918213, 'learning_rate': 9.84423676012461e-05, 'epoch': 0.05}
{'loss': 1.1525, 'grad_norm': 2.628746509552002, 'learning_rate': 9.766355140186917e-05, 'epoch': 0.07}
{'loss': 0.6335, 'grad_norm': 3.724733591079712, 'learning_rate': 9.688473520249222e-05, 'epoch': 0.09}
{'loss': 0.5077, 'grad_norm': 7.24301290512085, 'learning_rate': 9.610591900311527e-05, 'epoch': 0.12}
{'loss': 0.3871, 'grad_norm': 3.8252310752868652, 'learning_rate': 9.532710280373832e-05, 'epoch': 0.14}
{'loss': 0.4737, 'grad_norm': 4.354522228240967, 'learning_rate': 9.454828660436138e-05, 'epoch': 0.16}
{'loss': 0.3446, 'grad_norm': 4.525766372680664, 'learning_rate': 9.376947040498443e-05, 'epoch': 0.19}
{'loss': 0.3009, 'grad_norm': 7.131075382232666, 'learning_rate': 9.299065420560748e-05, 'epoch': 0.21}
{'loss': 0.2409, 'grad_norm': 2.904024839401245, 'learning_rate': 9.221183800623053e-05, 'epoch': 0.23}
{'loss': 0.3058, 'grad_norm': 3.9921703338623047, 'learning_rate': 9.14330218068536e-05, 'epoch': 0.26}
{'loss': 0.2029, 'grad_norm': 4.96113920211792, 'learning_rate': 9.065420560747664e-05, 'epoch': 0.28}
{'loss': 0.4404, 'grad_norm': 5.4158616065979, 'learning_rate': 8.98753894080997e-05, 'epoch': 0.3}
{'loss': 0.3009, 'grad_norm': 4.144270420074463, 'learning_rate': 8.909657320872274e-05, 'epoch': 0.33}
{'loss': 0.4079, 'grad_norm': 3.0698609352111816, 'learning_rate': 8.831775700934581e-05, 'epoch': 0.35}
{'loss': 0.3085, 'grad_norm': 5.604376792907715, 'learning_rate': 8.753894080996884e-05, 'epoch': 0.37}
{'loss': 0.4737, 'grad_norm': 4.24306058883667, 'learning_rate': 8.676012461059191e-05, 'epoch': 0.4}
{'loss': 0.4318, 'grad_norm': 3.7700955867767334, 'learning_rate': 8.598130841121496e-05, 'epoch': 0.42}
{'loss': 0.4916, 'grad_norm': 3.850311279296875, 'learning_rate': 8.520249221183801e-05, 'epoch': 0.44}
{'loss': 0.3451, 'grad_norm': 2.4038991928100586, 'learning_rate': 8.442367601246106e-05, 'epoch': 0.47}
{'loss': 0.3947, 'grad_norm': 5.9999165534973145, 'learning_rate': 8.364485981308412e-05, 'epoch': 0.49}
{'loss': 0.3688, 'grad_norm': 5.13660192489624, 'learning_rate': 8.286604361370717e-05, 'epoch': 0.51}
{'loss': 0.2177, 'grad_norm': 3.4936273097991943, 'learning_rate': 8.208722741433022e-05, 'epoch': 0.54}
{'loss': 0.3475, 'grad_norm': 6.687793254852295, 'learning_rate': 8.130841121495327e-05, 'epoch': 0.56}
{'loss': 0.4012, 'grad_norm': 2.7579281330108643, 'learning_rate': 8.052959501557633e-05, 'epoch': 0.58}
{'loss': 0.2891, 'grad_norm': 4.554512023925781, 'learning_rate': 7.975077881619938e-05, 'epoch': 0.61}
{'loss': 0.3847, 'grad_norm': 7.982010364532471, 'learning_rate': 7.897196261682243e-05, 'epoch': 0.63}
{'loss': 0.2675, 'grad_norm': 1.934726595878601, 'learning_rate': 7.819314641744548e-05, 'epoch': 0.65}
{'loss': 0.3676, 'grad_norm': 6.430569648742676, 'learning_rate': 7.741433021806855e-05, 'epoch': 0.68}
{'loss': 0.2613, 'grad_norm': 5.577587604522705, 'learning_rate': 7.663551401869158e-05, 'epoch': 0.7}
{'loss': 0.3824, 'grad_norm': 3.3643805980682373, 'learning_rate': 7.585669781931465e-05, 'epoch': 0.72}
{'loss': 0.2405, 'grad_norm': 3.8045084476470947, 'learning_rate': 7.50778816199377e-05, 'epoch': 0.75}
{'loss': 0.2548, 'grad_norm': 2.138061046600342, 'learning_rate': 7.429906542056075e-05, 'epoch': 0.77}
{'loss': 0.3491, 'grad_norm': 4.344212055206299, 'learning_rate': 7.35202492211838e-05, 'epoch': 0.79}
{'loss': 0.2858, 'grad_norm': 6.310484409332275, 'learning_rate': 7.274143302180686e-05, 'epoch': 0.82}
{'loss': 0.4803, 'grad_norm': 6.980467319488525, 'learning_rate': 7.196261682242991e-05, 'epoch': 0.84}
{'loss': 0.3201, 'grad_norm': 6.081849575042725, 'learning_rate': 7.118380062305296e-05, 'epoch': 0.86}
{'loss': 0.2207, 'grad_norm': 0.4865846335887909, 'learning_rate': 7.040498442367601e-05, 'epoch': 0.89}
{'loss': 0.3205, 'grad_norm': 4.978085517883301, 'learning_rate': 6.962616822429907e-05, 'epoch': 0.91}
{'loss': 0.2989, 'grad_norm': 5.193609714508057, 'learning_rate': 6.884735202492212e-05, 'epoch': 0.93}
