2024-10-30 00:11:59 - INFO - __main__ - Initializing training script
2024-10-30 00:11:59 - INFO - __main__ - Loading dataset...
2024-10-30 00:12:08 - INFO - __main__ - Loading model and tokenizer...
Some weights of RobertaForSequenceClassificationWithAdapters were not initialized from the model checkpoint at roberta-base and are newly initialized: ['classifier.dense.bias', 'classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.out_proj.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.weight', 'roberta.e
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/root/HW2/task3/train.py:106: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
2024-10-30 00:12:14 - INFO - __main__ - Starting training...
  0%|                                                                                                    | 0/1284 [00:00<?, ?it/s]/root/miniconda3/envs/pytorch/lib/python3.10/site-packages/transformers/modeling_utils.py:1160: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(
                                                                                                                                  
{'loss': 1.3858, 'grad_norm': 2.7986769676208496, 'learning_rate': 9.922118380062307e-05, 'epoch': 0.02}
{'loss': 1.3149, 'grad_norm': 3.03244686126709, 'learning_rate': 9.84423676012461e-05, 'epoch': 0.05}
{'loss': 1.0247, 'grad_norm': 4.183598041534424, 'learning_rate': 9.766355140186917e-05, 'epoch': 0.07}
{'loss': 0.6435, 'grad_norm': 2.239351987838745, 'learning_rate': 9.688473520249222e-05, 'epoch': 0.09}
{'loss': 0.4846, 'grad_norm': 3.0183043479919434, 'learning_rate': 9.610591900311527e-05, 'epoch': 0.12}
{'loss': 0.482, 'grad_norm': 7.206270217895508, 'learning_rate': 9.532710280373832e-05, 'epoch': 0.14}
{'loss': 0.3713, 'grad_norm': 6.353057384490967, 'learning_rate': 9.454828660436138e-05, 'epoch': 0.16}
{'loss': 0.3335, 'grad_norm': 4.417660713195801, 'learning_rate': 9.376947040498443e-05, 'epoch': 0.19}
{'loss': 0.4024, 'grad_norm': 5.583807468414307, 'learning_rate': 9.299065420560748e-05, 'epoch': 0.21}
{'loss': 0.4411, 'grad_norm': 6.258852958679199, 'learning_rate': 9.221183800623053e-05, 'epoch': 0.23}
{'loss': 0.5045, 'grad_norm': 5.683914661407471, 'learning_rate': 9.14330218068536e-05, 'epoch': 0.26}
{'loss': 0.3604, 'grad_norm': 11.724687576293945, 'learning_rate': 9.065420560747664e-05, 'epoch': 0.28}
{'loss': 0.436, 'grad_norm': 4.067253589630127, 'learning_rate': 8.98753894080997e-05, 'epoch': 0.3}
{'loss': 0.3239, 'grad_norm': 3.0246241092681885, 'learning_rate': 8.909657320872274e-05, 'epoch': 0.33}
{'loss': 0.3316, 'grad_norm': 5.227484703063965, 'learning_rate': 8.831775700934581e-05, 'epoch': 0.35}
{'loss': 0.2025, 'grad_norm': 1.4527878761291504, 'learning_rate': 8.753894080996884e-05, 'epoch': 0.37}
{'loss': 0.3621, 'grad_norm': 5.77932071685791, 'learning_rate': 8.676012461059191e-05, 'epoch': 0.4}
{'loss': 0.5004, 'grad_norm': 5.062796115875244, 'learning_rate': 8.598130841121496e-05, 'epoch': 0.42}
{'loss': 0.3422, 'grad_norm': 5.939849853515625, 'learning_rate': 8.520249221183801e-05, 'epoch': 0.44}
{'loss': 0.372, 'grad_norm': 5.664063930511475, 'learning_rate': 8.442367601246106e-05, 'epoch': 0.47}
{'loss': 0.4435, 'grad_norm': 3.751826047897339, 'learning_rate': 8.364485981308412e-05, 'epoch': 0.49}
{'loss': 0.3174, 'grad_norm': 6.999156475067139, 'learning_rate': 8.286604361370717e-05, 'epoch': 0.51}
{'loss': 0.3512, 'grad_norm': 4.40463399887085, 'learning_rate': 8.208722741433022e-05, 'epoch': 0.54}
{'loss': 0.2206, 'grad_norm': 1.3844294548034668, 'learning_rate': 8.130841121495327e-05, 'epoch': 0.56}
{'loss': 0.2411, 'grad_norm': 2.412611722946167, 'learning_rate': 8.052959501557633e-05, 'epoch': 0.58}
{'loss': 0.4183, 'grad_norm': 4.11207389831543, 'learning_rate': 7.975077881619938e-05, 'epoch': 0.61}
{'loss': 0.3636, 'grad_norm': 3.958712339401245, 'learning_rate': 7.897196261682243e-05, 'epoch': 0.63}
{'loss': 0.381, 'grad_norm': 1.7442927360534668, 'learning_rate': 7.819314641744548e-05, 'epoch': 0.65}
{'loss': 0.3325, 'grad_norm': 2.970993757247925, 'learning_rate': 7.741433021806855e-05, 'epoch': 0.68}
{'loss': 0.2635, 'grad_norm': 5.8540167808532715, 'learning_rate': 7.663551401869158e-05, 'epoch': 0.7}
{'loss': 0.3013, 'grad_norm': 2.593879461288452, 'learning_rate': 7.585669781931465e-05, 'epoch': 0.72}
{'loss': 0.3404, 'grad_norm': 4.743374824523926, 'learning_rate': 7.50778816199377e-05, 'epoch': 0.75}
{'loss': 0.3214, 'grad_norm': 2.5323638916015625, 'learning_rate': 7.429906542056075e-05, 'epoch': 0.77}
{'loss': 0.3091, 'grad_norm': 3.1854634284973145, 'learning_rate': 7.35202492211838e-05, 'epoch': 0.79}
{'loss': 0.3062, 'grad_norm': 5.5569257736206055, 'learning_rate': 7.274143302180686e-05, 'epoch': 0.82}
{'loss': 0.1966, 'grad_norm': 3.284945249557495, 'learning_rate': 7.196261682242991e-05, 'epoch': 0.84}
{'loss': 0.2798, 'grad_norm': 5.399162769317627, 'learning_rate': 7.118380062305296e-05, 'epoch': 0.86}
{'loss': 0.2329, 'grad_norm': 1.4487661123275757, 'learning_rate': 7.040498442367601e-05, 'epoch': 0.89}
{'loss': 0.307, 'grad_norm': 1.9364219903945923, 'learning_rate': 6.962616822429907e-05, 'epoch': 0.91}
{'loss': 0.2984, 'grad_norm': 2.1181020736694336, 'learning_rate': 6.884735202492212e-05, 'epoch': 0.93}
