2024-10-30 00:14:10 - INFO - __main__ - Initializing training script
2024-10-30 00:14:10 - INFO - __main__ - Loading dataset...
2024-10-30 00:14:19 - INFO - __main__ - Loading model and tokenizer...
Some weights of RobertaForSequenceClassificationWithAdapters were not initialized from the model checkpoint at roberta-base and are newly initialized: ['classifier.dense.bias', 'classifier.dense.weight', 'classifier.out_proj.bias', 'classifier.out_proj.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.0.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.1.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.10.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.11.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.2.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.down_project.weight', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.bias', 'roberta.encoder.layer.3.output.adapter_before_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.down_project.weight', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.bias', 'roberta.encoder.layer.4.output.adapter_after_ffn.up_project.weight', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.bias', 'roberta.encoder.layer.4.output.adapter_before_ffn.down_project.weight', 'roberta.e
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/root/HW2/task3/train.py:106: FutureWarning: `tokenizer` is deprecated and will be removed in version 5.0.0 for `Trainer.__init__`. Use `processing_class` instead.
  trainer = Trainer(
2024-10-30 00:14:27 - INFO - __main__ - Starting training...
  0%|                                                                                                    | 0/1284 [00:00<?, ?it/s]/root/miniconda3/envs/pytorch/lib/python3.10/site-packages/transformers/modeling_utils.py:1160: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
  warnings.warn(
                                                                                                                                  
{'loss': 1.3789, 'grad_norm': 1.9793888330459595, 'learning_rate': 9.922118380062307e-05, 'epoch': 0.02}
{'loss': 1.3669, 'grad_norm': 2.2204880714416504, 'learning_rate': 9.84423676012461e-05, 'epoch': 0.05}
{'loss': 1.143, 'grad_norm': 4.6841230392456055, 'learning_rate': 9.766355140186917e-05, 'epoch': 0.07}
{'loss': 0.6985, 'grad_norm': 7.734464168548584, 'learning_rate': 9.688473520249222e-05, 'epoch': 0.09}
{'loss': 0.4586, 'grad_norm': 6.088360786437988, 'learning_rate': 9.610591900311527e-05, 'epoch': 0.12}
{'loss': 0.5278, 'grad_norm': 5.441826820373535, 'learning_rate': 9.532710280373832e-05, 'epoch': 0.14}
{'loss': 0.369, 'grad_norm': 2.02287220954895, 'learning_rate': 9.454828660436138e-05, 'epoch': 0.16}
{'loss': 0.4293, 'grad_norm': 5.214974403381348, 'learning_rate': 9.376947040498443e-05, 'epoch': 0.19}
{'loss': 0.4649, 'grad_norm': 5.491121768951416, 'learning_rate': 9.299065420560748e-05, 'epoch': 0.21}
{'loss': 0.3976, 'grad_norm': 2.8131587505340576, 'learning_rate': 9.221183800623053e-05, 'epoch': 0.23}
{'loss': 0.2352, 'grad_norm': 3.8781824111938477, 'learning_rate': 9.14330218068536e-05, 'epoch': 0.26}
{'loss': 0.3062, 'grad_norm': 2.3643839359283447, 'learning_rate': 9.065420560747664e-05, 'epoch': 0.28}
{'loss': 0.2873, 'grad_norm': 3.8692221641540527, 'learning_rate': 8.98753894080997e-05, 'epoch': 0.3}
{'loss': 0.3297, 'grad_norm': 8.116928100585938, 'learning_rate': 8.909657320872274e-05, 'epoch': 0.33}
{'loss': 0.5323, 'grad_norm': 7.555653095245361, 'learning_rate': 8.831775700934581e-05, 'epoch': 0.35}
{'loss': 0.3101, 'grad_norm': 6.203339576721191, 'learning_rate': 8.753894080996884e-05, 'epoch': 0.37}
{'loss': 0.4129, 'grad_norm': 6.4617919921875, 'learning_rate': 8.676012461059191e-05, 'epoch': 0.4}
{'loss': 0.3274, 'grad_norm': 0.4526369273662567, 'learning_rate': 8.598130841121496e-05, 'epoch': 0.42}
{'loss': 0.3427, 'grad_norm': 4.404739856719971, 'learning_rate': 8.520249221183801e-05, 'epoch': 0.44}
{'loss': 0.3261, 'grad_norm': 3.35583233833313, 'learning_rate': 8.442367601246106e-05, 'epoch': 0.47}
{'loss': 0.3876, 'grad_norm': 4.810959339141846, 'learning_rate': 8.364485981308412e-05, 'epoch': 0.49}
{'loss': 0.1912, 'grad_norm': 4.878561973571777, 'learning_rate': 8.286604361370717e-05, 'epoch': 0.51}
{'loss': 0.5585, 'grad_norm': 15.247442245483398, 'learning_rate': 8.208722741433022e-05, 'epoch': 0.54}
{'loss': 0.3665, 'grad_norm': 3.262240409851074, 'learning_rate': 8.130841121495327e-05, 'epoch': 0.56}
{'loss': 0.3193, 'grad_norm': 3.3988826274871826, 'learning_rate': 8.052959501557633e-05, 'epoch': 0.58}
{'loss': 0.3952, 'grad_norm': 6.809303283691406, 'learning_rate': 7.975077881619938e-05, 'epoch': 0.61}
{'loss': 0.3223, 'grad_norm': 2.1461498737335205, 'learning_rate': 7.897196261682243e-05, 'epoch': 0.63}
{'loss': 0.4698, 'grad_norm': 2.774245262145996, 'learning_rate': 7.819314641744548e-05, 'epoch': 0.65}
{'loss': 0.2937, 'grad_norm': 4.1697611808776855, 'learning_rate': 7.741433021806855e-05, 'epoch': 0.68}
{'loss': 0.319, 'grad_norm': 5.0801801681518555, 'learning_rate': 7.663551401869158e-05, 'epoch': 0.7}
{'loss': 0.3869, 'grad_norm': 4.2861008644104, 'learning_rate': 7.585669781931465e-05, 'epoch': 0.72}
{'loss': 0.3391, 'grad_norm': 4.620593547821045, 'learning_rate': 7.50778816199377e-05, 'epoch': 0.75}
{'loss': 0.3037, 'grad_norm': 3.5780837535858154, 'learning_rate': 7.429906542056075e-05, 'epoch': 0.77}
{'loss': 0.2923, 'grad_norm': 6.146755695343018, 'learning_rate': 7.35202492211838e-05, 'epoch': 0.79}
{'loss': 0.3677, 'grad_norm': 4.217738151550293, 'learning_rate': 7.274143302180686e-05, 'epoch': 0.82}
{'loss': 0.2508, 'grad_norm': 4.615926265716553, 'learning_rate': 7.196261682242991e-05, 'epoch': 0.84}
{'loss': 0.2622, 'grad_norm': 3.518991470336914, 'learning_rate': 7.118380062305296e-05, 'epoch': 0.86}
{'loss': 0.2663, 'grad_norm': 3.58988356590271, 'learning_rate': 7.040498442367601e-05, 'epoch': 0.89}
{'loss': 0.2563, 'grad_norm': 0.8802404999732971, 'learning_rate': 6.962616822429907e-05, 'epoch': 0.91}
{'loss': 0.2526, 'grad_norm': 5.812377452850342, 'learning_rate': 6.884735202492212e-05, 'epoch': 0.93}
{'loss': 0.4172, 'grad_norm': 3.430399179458618, 'learning_rate': 6.806853582554517e-05, 'epoch': 0.96}
{'loss': 0.3502, 'grad_norm': 3.1724605560302734, 'learning_rate': 6.728971962616822e-05, 'epoch': 0.98}
  warnings.warn(                                                                                                                  
{'eval_loss': 0.27183037996292114, 'eval_accuracy': 0.9210526315789473, 'eval_micro_f1': 0.9210526315789473, 'eval_macro_f1': 0.9186664402448759, 'eval_runtime': 1.6856, 'eval_samples_per_second': 450.879, 'eval_steps_per_second': 28.477, 'epoch': 1.0}
 39%|███████████████████████████████████                                                       | 500/1284 [00:37<00:55, 14.23it/s]/root/miniconda3/envs/pytorch/lib/python3.10/site-packages/transformers/modeling_utils.py:1160: FutureWarning: The `device` argument is deprecated and will be removed in v5 of Transformers.
{'loss': 0.2578, 'grad_norm': 0.3417915403842926, 'learning_rate': 6.651090342679129e-05, 'epoch': 1.0}
{'loss': 0.3647, 'grad_norm': 2.4883506298065186, 'learning_rate': 6.573208722741432e-05, 'epoch': 1.03}
{'loss': 0.2049, 'grad_norm': 1.7913366556167603, 'learning_rate': 6.495327102803739e-05, 'epoch': 1.05}
{'loss': 0.3032, 'grad_norm': 4.265408039093018, 'learning_rate': 6.417445482866044e-05, 'epoch': 1.07}
{'loss': 0.2905, 'grad_norm': 2.8508832454681396, 'learning_rate': 6.339563862928349e-05, 'epoch': 1.1}
{'loss': 0.1971, 'grad_norm': 3.116790533065796, 'learning_rate': 6.261682242990654e-05, 'epoch': 1.12}
{'loss': 0.2069, 'grad_norm': 5.326502323150635, 'learning_rate': 6.18380062305296e-05, 'epoch': 1.14}
{'loss': 0.3518, 'grad_norm': 1.4294592142105103, 'learning_rate': 6.105919003115265e-05, 'epoch': 1.17}
  warnings.warn(
                                                                                                                                  
{'loss': 0.3159, 'grad_norm': 2.67966365814209, 'learning_rate': 6.028037383177571e-05, 'epoch': 1.19}
{'loss': 0.3578, 'grad_norm': 2.5833728313446045, 'learning_rate': 5.950155763239875e-05, 'epoch': 1.21}
{'loss': 0.2691, 'grad_norm': 5.549953460693359, 'learning_rate': 5.872274143302181e-05, 'epoch': 1.24}
{'loss': 0.2741, 'grad_norm': 5.6452741622924805, 'learning_rate': 5.794392523364486e-05, 'epoch': 1.26}
{'loss': 0.2405, 'grad_norm': 0.6686546206474304, 'learning_rate': 5.7165109034267914e-05, 'epoch': 1.29}
{'loss': 0.1845, 'grad_norm': 1.1298351287841797, 'learning_rate': 5.6386292834890964e-05, 'epoch': 1.31}
{'loss': 0.2777, 'grad_norm': 0.2468228042125702, 'learning_rate': 5.560747663551402e-05, 'epoch': 1.33}
{'loss': 0.2309, 'grad_norm': 3.3337247371673584, 'learning_rate': 5.482866043613707e-05, 'epoch': 1.36}
{'loss': 0.2486, 'grad_norm': 2.161137342453003, 'learning_rate': 5.404984423676013e-05, 'epoch': 1.38}
{'loss': 0.2201, 'grad_norm': 3.7839691638946533, 'learning_rate': 5.327102803738318e-05, 'epoch': 1.4}
{'loss': 0.356, 'grad_norm': 3.858783721923828, 'learning_rate': 5.2492211838006234e-05, 'epoch': 1.43}
{'loss': 0.1455, 'grad_norm': 0.2696093022823334, 'learning_rate': 5.171339563862928e-05, 'epoch': 1.45}
{'loss': 0.2291, 'grad_norm': 3.6541640758514404, 'learning_rate': 5.093457943925234e-05, 'epoch': 1.47}
{'loss': 0.4032, 'grad_norm': 5.28154993057251, 'learning_rate': 5.0155763239875384e-05, 'epoch': 1.5}
{'loss': 0.3501, 'grad_norm': 0.6023403406143188, 'learning_rate': 4.937694704049845e-05, 'epoch': 1.52}
